epoch,lr-AdamW,step,test/acc,test/f1_macro,test/f1_weighted,test/loss,test/precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1_macro,val/f1_weighted,val/loss,val/precision,val/recall
4,,919,,,,,,,,,0.8097060918807983,,,,,,
4,,929,,,,,,,,,0.7103043794631958,,,,,,
4,,939,,,,,,,,,0.6487205624580383,,,,,,
4,,949,,,,,,,,,0.6995738744735718,,,,,,
4,,959,,,,,,,,,0.8333697319030762,,,,,,
4,,969,,,,,,,,,0.5792713165283203,,,,,,
4,,979,,,,,,,,,0.7011691331863403,,,,,,
4,,989,,,,,,,,,0.6589846611022949,,,,,,
4,,989,,,,,,,,,,0.7896737456321716,0.6897656917572021,0.8018373250961304,1.3474098443984985,0.7742705345153809,0.737796425819397
4,,989,,,,,,,0.9174609184265137,0.6957142353057861,,,,,,,
,9.939057285945934e-05,990,,,,,,,,,,,,,,,
5,,999,,,,,,,,,0.6222348809242249,,,,,,
5,,1009,,,,,,,,,0.880520761013031,,,,,,
5,,1019,,,,,,,,,0.6342846155166626,,,,,,
5,,1029,,,,,,,,,0.5422655940055847,,,,,,
5,,1039,,,,,,,,,0.6004413962364197,,,,,,
5,,1049,,,,,,,,,0.6444135904312134,,,,,,
5,,1059,,,,,,,,,0.7292309999465942,,,,,,
5,,1069,,,,,,,,,0.5963931083679199,,,,,,
5,,1079,,,,,,,,,0.6191394329071045,,,,,,
5,,1089,,,,,,,,,0.5730457305908203,,,,,,
5,,1099,,,,,,,,,0.8668067455291748,,,,,,
5,,1109,,,,,,,,,0.6684802174568176,,,,,,
5,,1119,,,,,,,,,0.6263693571090698,,,,,,
5,,1129,,,,,,,,,0.6797748804092407,,,,,,
5,,1139,,,,,,,,,0.7184035778045654,,,,,,
5,,1149,,,,,,,,,0.6240362524986267,,,,,,
5,,1159,,,,,,,,,0.6247000098228455,,,,,,
5,,1169,,,,,,,,,0.660865843296051,,,,,,
5,,1179,,,,,,,,,0.6000901460647583,,,,,,
5,,1187,,,,,,,,,,0.829585075378418,0.7724133729934692,0.840313732624054,1.1723376512527466,0.8021219968795776,0.8028179407119751
5,,1187,,,,,,,0.9361677169799805,0.6525023579597473,,,,,,,
,9.912321891107012e-05,1188,,,,,,,,,,,,,,,
6,,1189,,,,,,,,,0.5890509486198425,,,,,,
6,,1199,,,,,,,,,0.6214014291763306,,,,,,
6,,1209,,,,,,,,,0.6738320589065552,,,,,,
6,,1219,,,,,,,,,0.6444031596183777,,,,,,
6,,1229,,,,,,,,,0.6267755031585693,,,,,,
6,,1239,,,,,,,,,0.5580355525016785,,,,,,
6,,1249,,,,,,,,,0.5846720933914185,,,,,,
6,,1259,,,,,,,,,0.5907442569732666,,,,,,
6,,1269,,,,,,,,,0.6538232564926147,,,,,,
6,,1279,,,,,,,,,0.6482589244842529,,,,,,
6,,1289,,,,,,,,,0.5585933327674866,,,,,,
6,,1299,,,,,,,,,0.7625017166137695,,,,,,
6,,1309,,,,,,,,,0.5629323124885559,,,,,,
6,,1319,,,,,,,,,0.6428556442260742,,,,,,
6,,1329,,,,,,,,,0.5750287771224976,,,,,,
6,,1339,,,,,,,,,0.6101219058036804,,,,,,
6,,1349,,,,,,,,,0.537641704082489,,,,,,
6,,1359,,,,,,,,,0.6419485211372375,,,,,,
6,,1369,,,,,,,,,0.7155349254608154,,,,,,
6,,1379,,,,,,,,,0.5476189851760864,,,,,,
6,,1385,,,,,,,,,,0.8565093278884888,0.806452214717865,0.864578902721405,1.0437315702438354,0.8261644840240479,0.8353294134140015
6,,1385,,,,,,,0.9440379738807678,0.6299534440040588,,,,,,,
,9.880787971596802e-05,1386,,,,,,,,,,,,,,,
7,,1389,,,,,,,,,0.578445553779602,,,,,,
7,,1399,,,,,,,,,0.6578693389892578,,,,,,
7,,1409,,,,,,,,,0.5223473906517029,,,,,,
7,,1419,,,,,,,,,0.6028695106506348,,,,,,
7,,1429,,,,,,,,,0.5878846645355225,,,,,,
7,,1439,,,,,,,,,0.6520199179649353,,,,,,
7,,1449,,,,,,,,,0.592546820640564,,,,,,
7,,1459,,,,,,,,,0.6117407083511353,,,,,,
7,,1469,,,,,,,,,0.6273176074028015,,,,,,
7,,1479,,,,,,,,,0.619961678981781,,,,,,
7,,1489,,,,,,,,,0.6577317714691162,,,,,,
7,,1499,,,,,,,,,0.6728385090827942,,,,,,
7,,1509,,,,,,,,,0.5294188857078552,,,,,,
7,,1519,,,,,,,,,0.5464884042739868,,,,,,
7,,1529,,,,,,,,,0.6100268363952637,,,,,,
7,,1539,,,,,,,,,0.504686713218689,,,,,,
7,,1549,,,,,,,,,0.524756669998169,,,,,,
7,,1559,,,,,,,,,0.6864198446273804,,,,,,
7,,1569,,,,,,,,,0.5666889548301697,,,,,,
7,,1579,,,,,,,,,0.6554266214370728,,,,,,
7,,1583,,,,,,,,,,0.8767817616462708,0.8339846134185791,0.8832599520683289,0.9558825492858887,0.8426822423934937,0.8622210621833801
7,,1583,,,,,,,0.9512754678726196,0.6089963316917419,,,,,,,
,9.844486647586726e-05,1584,,,,,,,,,,,,,,,
8,,1589,,,,,,,,,0.5542472004890442,,,,,,
8,,1599,,,,,,,,,0.5648670792579651,,,,,,
8,,1609,,,,,,,,,0.5765282511711121,,,,,,
8,,1619,,,,,,,,,0.5680103302001953,,,,,,
8,,1629,,,,,,,,,0.7152165174484253,,,,,,
8,,1639,,,,,,,,,0.6493889093399048,,,,,,
8,,1649,,,,,,,,,0.6127973794937134,,,,,,
8,,1659,,,,,,,,,0.5436002612113953,,,,,,
8,,1669,,,,,,,,,0.6224535703659058,,,,,,
8,,1679,,,,,,,,,0.6276673078536987,,,,,,
8,,1689,,,,,,,,,0.5700787305831909,,,,,,
8,,1699,,,,,,,,,0.48925453424453735,,,,,,
8,,1709,,,,,,,,,0.5845871567726135,,,,,,
8,,1719,,,,,,,,,0.5831354856491089,,,,,,
8,,1729,,,,,,,,,0.6338380575180054,,,,,,
8,,1739,,,,,,,,,0.7056289315223694,,,,,,
8,,1749,,,,,,,,,0.7012864351272583,,,,,,
8,,1759,,,,,,,,,0.5182142853736877,,,,,,
8,,1769,,,,,,,,,0.5460214018821716,,,,,,
8,,1779,,,,,,,,,0.6699761152267456,,,,,,
8,,1781,,,,,,,,,,0.9040228128433228,0.8687354326248169,0.9081321358680725,0.8873575329780579,0.8692390322685242,0.8891674280166626
8,,1781,,,,,,,0.956693708896637,0.5988799929618835,,,,,,,
,9.80345374410087e-05,1782,,,,,,,,,,,,,,,
9,,1789,,,,,,,,,0.7493852376937866,,,,,,
9,,1799,,,,,,,,,0.7212112545967102,,,,,,
9,,1809,,,,,,,,,0.6138890981674194,,,,,,
9,,1819,,,,,,,,,0.5537502765655518,,,,,,
9,,1829,,,,,,,,,0.5589776039123535,,,,,,
9,,1839,,,,,,,,,0.5623323321342468,,,,,,
9,,1849,,,,,,,,,0.5792346596717834,,,,,,
9,,1859,,,,,,,,,0.5516045093536377,,,,,,
9,,1869,,,,,,,,,0.6342287063598633,,,,,,
9,,1879,,,,,,,,,0.6559466123580933,,,,,,
9,,1889,,,,,,,,,0.58409583568573,,,,,,
9,,1899,,,,,,,,,0.5251374244689941,,,,,,
9,,1909,,,,,,,,,0.6359479427337646,,,,,,
9,,1919,,,,,,,,,0.5995733737945557,,,,,,
9,,1929,,,,,,,,,0.6414622068405151,,,,,,
9,,1939,,,,,,,,,0.49057403206825256,,,,,,
9,,1949,,,,,,,,,0.628496527671814,,,,,,
9,,1959,,,,,,,,,0.5816506743431091,,,,,,
9,,1969,,,,,,,,,0.6343459486961365,,,,,,
9,,1979,,,,,,,,,0.5389378666877747,,,,,,
9,,1979,,,,,,,,,,0.9160595536231995,0.8912984132766724,0.9188405275344849,0.8420843482017517,0.8862471580505371,0.9070874452590942
